trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
290,False,"{'a': 0.5, 'e': 0.27750000000001046}",30,19,13.944311672058632,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.27500000000001046}",20,12,-14.291877946897797,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.27250000000001046}",20,1,-36.28870955924399,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
293,False,"{'a': 0.5, 'e': 0.27000000000001045}",25,17,16.472457206973306,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.26750000000001045}",25,8,-21.689615038640728,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
295,False,"{'a': 0.5, 'e': 0.26500000000001045}",30,16,-0.6745198846957716,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.26250000000001045}",25,0,18.965487757605988,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
297,False,"{'a': 0.5, 'e': 0.26000000000001044}",20,0,24.92304475427632,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
298,False,"{'a': 0.5, 'e': 0.25750000000001044}",25,19,9.547453259213448,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.25500000000001044}",20,8,10.576020916284167,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.25250000000001044}",20,14,13.185582448672147,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.25000000000001044}",20,8,-9.267974405351174,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.24750000000001043}",20,0,17.316938559489763,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.24500000000001043}",25,8,21.893228759366234,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.24250000000001043}",20,16,6.6646445105229075,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.24000000000001043}",20,12,-8.364370024332372,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.23750000000001042}",20,8,-2.0135954392505786,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.23500000000001042}",20,12,-5.641138812684628,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.23250000000001042}",35,21,24.890143390713252,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.23000000000001042}",25,6,32.38367169723164,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.22750000000001042}",25,12,24.893432518738805,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.22500000000001041}",30,18,-0.09519275132817007,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.2225000000000104}",20,13,13.756014784544922,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.2200000000000104}",25,13,24.513006674446387,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.2175000000000104}",25,0,26.43592616313108,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
